timestamp,symbol,base,market_venue,open,high,low,close,volume,trades,vwap
2022-07-27 00:00:00,BTC,USDT,BINANCE,21459.43,23112.63,21421.02,22952.45,120859.26615000004,2895679,22320.25
2022-07-28 00:00:00,BTC,USDT,BINANCE,22954.31,24199.72,22582.13,23842.93,321246.0664799998,9102640,23266.6
2022-07-29 00:00:00,BTC,USDT,BINANCE,23845.25,24442.66,23414.03,23773.75,198238.52330000018,6218869,23871.89
2022-07-30 00:00:00,BTC,USDT,BINANCE,23777.28,24668.0,23502.25,23643.51,151060.13211000015,4801528,24060.42
2022-07-31 00:00:00,BTC,USDT,BINANCE,23644.64,24194.82,23227.31,23293.32,127742.83334999988,4463704,23707.08
2022-08-01 00:00:00,BTC,USDT,BINANCE,23296.36,23509.68,22850.0,23268.01,144112.39139000006,4771732,23205.03
2022-08-02 00:00:00,BTC,USDT,BINANCE,23266.9,23459.89,22654.37,22987.79,158073.28225000013,5066511,22970.36
2022-08-03 00:00:00,BTC,USDT,BINANCE,22985.93,23647.68,22681.22,22818.37,145948.80995000017,4887642,23195.96
2022-08-04 00:00:00,BTC,USDT,BINANCE,22816.91,23223.32,22400.0,22622.98,154854.67015999957,4966138,22843.61
2022-08-05 00:00:00,BTC,USDT,BINANCE,22622.41,23472.86,22586.95,23312.42,175142.81690000003,5337106,23089.0
2022-08-06 00:00:00,BTC,USDT,BINANCE,23313.56,23354.36,22909.52,22954.21,83891.31254999981,3359075,23175.53
2022-08-07 00:00:00,BTC,USDT,BINANCE,22954.21,23402.0,22844.62,23174.39,88890.00876999993,3646643,23082.23
2022-08-08 00:00:00,BTC,USDT,BINANCE,23174.39,24245.0,23154.25,23810.0,170958.44152000037,5892045,23853.97
2022-08-09 00:00:00,BTC,USDT,BINANCE,23810.98,23933.25,22865.0,23149.95,143116.1179100003,5103493,23376.79
2022-08-10 00:00:00,BTC,USDT,BINANCE,23151.32,24226.0,22664.69,23954.05,208916.54953000005,6818207,23544.07
2022-08-11 00:00:00,BTC,USDT,BINANCE,23954.05,24918.54,23852.13,23934.39,249759.79557000034,8269994,24413.7
2022-08-12 00:00:00,BTC,USDT,BINANCE,23933.09,24456.5,23583.0,24403.68,173883.9194399999,6123919,23970.87
2022-08-13 00:00:00,BTC,USDT,BINANCE,24401.7,24888.0,24291.22,24441.38,152852.25435000006,5617859,24542.47
2022-08-14 00:00:00,BTC,USDT,BINANCE,24443.06,25047.56,24144.0,24305.24,151144.3021000001,5471132,24526.61
2022-08-15 00:00:00,BTC,USDT,BINANCE,24305.25,25211.32,23773.22,24094.82,242539.5475799999,7488466,24301.54
2022-08-16 00:00:00,BTC,USDT,BINANCE,24093.04,24247.49,23671.22,23854.74,179324.94821000012,5978567,23950.49
2022-08-17 00:00:00,BTC,USDT,BINANCE,23856.15,24446.71,23180.4,23342.66,210668.68765999985,6901586,23703.6
2022-08-18 00:00:00,BTC,USDT,BINANCE,23342.66,23600.0,23111.04,23191.2,144140.88780000005,6027008,23409.26
2022-08-19 00:00:00,BTC,USDT,BINANCE,23191.45,23208.67,20783.57,20834.39,283995.8774700004,8860928,21766.34
2022-08-20 00:00:00,BTC,USDT,BINANCE,20834.39,21382.85,20761.9,21140.07,183041.68363000004,5723362,21149.77
2022-08-21 00:00:00,BTC,USDT,BINANCE,21140.07,21800.0,21069.11,21515.61,159200.46933999984,5034431,21388.23
2022-08-22 00:00:00,BTC,USDT,BINANCE,21516.7,21548.71,20890.18,21399.83,222144.57162000018,6440736,21246.32
2022-08-23 00:00:00,BTC,USDT,BINANCE,21400.75,21684.87,20890.14,21529.12,200967.7716399999,6333442,21395.02
2022-08-24 00:00:00,BTC,USDT,BINANCE,21529.11,21900.0,21145.0,21368.08,174367.9637999997,5560580,21471.34
2022-08-25 00:00:00,BTC,USDT,BINANCE,21368.05,21819.88,21310.15,21559.04,169847.13372000004,5615698,21611.5
2022-08-26 00:00:00,BTC,USDT,BINANCE,21559.04,21886.77,20107.9,20241.05,273115.98474000016,7571702,21128.0
2022-08-27 00:00:00,BTC,USDT,BINANCE,20239.14,20402.93,19800.0,20037.6,162582.46031999972,5263328,20111.39
2022-08-28 00:00:00,BTC,USDT,BINANCE,20037.6,20171.18,19520.0,19555.61,139226.20387999993,4675156,19963.72
2022-08-29 00:00:00,BTC,USDT,BINANCE,19555.61,20433.62,19550.79,20285.73,210509.4954499996,5840323,20005.54
2022-08-30 00:00:00,BTC,USDT,BINANCE,20287.2,20576.25,19540.0,19811.66,256403.22619999977,6586557,20098.58
2022-08-31 00:00:00,BTC,USDT,BINANCE,19813.03,20490.0,19797.94,20050.02,276772.07580999995,6384175,20205.14
2022-09-01 00:00:00,BTC,USDT,BINANCE,20048.44,20208.37,19565.66,20131.46,245010.76501000012,5930880,19948.57
2022-09-02 00:00:00,BTC,USDT,BINANCE,20132.64,20441.26,19755.29,19951.86,245884.9966899997,5738252,20110.17
2022-09-03 00:00:00,BTC,USDT,BINANCE,19950.98,20055.93,19726.1,19824.88,73325.96742999993,1900695,19885.33
2022-09-04 00:00:00,BTC,USDT,BINANCE,19761.14,20029.23,19650.0,20000.3,90922.15451999994,2299491,19833.49
2022-09-05 00:00:00,BTC,USDT,BINANCE,20000.3,20057.27,19633.83,19796.84,222598.74193999998,4658304,19793.59
2022-09-06 00:00:00,BTC,USDT,BINANCE,19795.34,20180.0,18649.51,18790.61,356003.2837999994,7117898,19579.46
2022-09-07 00:00:00,BTC,USDT,BINANCE,18790.61,19464.06,18510.77,19292.84,287152.7797100005,5593043,18917.86
2022-09-08 00:00:00,BTC,USDT,BINANCE,19292.85,19458.25,19012.0,19319.77,262813.28273000015,6013826,19242.63
2022-09-09 00:00:00,BTC,USDT,BINANCE,19320.54,21597.22,19291.75,21360.11,428919.74652,7777214,20819.7
2022-09-10 00:00:00,BTC,USDT,BINANCE,21361.62,21810.8,21111.13,21648.34,464962.4265099998,8477011,21403.77
2022-09-11 00:00:00,BTC,USDT,BINANCE,21647.21,21860.0,21350.0,21826.87,346974.9904799999,5950017,21596.91
2022-09-12 00:00:00,BTC,USDT,BINANCE,21826.87,22488.0,21538.51,22395.74,395152.1907799996,6973554,22113.75
2022-09-13 00:00:00,BTC,USDT,BINANCE,22395.44,22799.0,19860.0,20173.57,428516.15354000026,8068416,21532.86
2022-09-14 00:00:00,BTC,USDT,BINANCE,20173.62,20541.48,19617.62,20226.71,340826.4015099996,6313052,20204.41
2022-09-15 00:00:00,BTC,USDT,BINANCE,20227.17,20330.24,19497.0,19701.88,333069.76075999945,6690974,19981.85
2022-09-16 00:00:00,BTC,USDT,BINANCE,19701.88,19890.0,19320.01,19803.3,283791.0706400002,5120935,19676.61
2022-09-17 00:00:00,BTC,USDT,BINANCE,19803.3,20189.0,19748.08,20113.62,179231.39816000033,3860885,19953.54
2022-09-18 00:00:00,BTC,USDT,BINANCE,20112.61,20117.26,19335.62,19416.18,254217.46904000005,4634096,19801.87
2022-09-19 00:00:00,BTC,USDT,BINANCE,19417.45,19686.2,18232.56,19537.02,378700.92237999913,6786324,18961.71
2022-09-20 00:00:00,BTC,USDT,BINANCE,19537.02,19634.62,18711.87,18875.0,324098.3286000003,5900070,19148.46
